SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,YEAR BUILT_na,$-SQUARE FEET_na,HOA-MONTH_na,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,2,1,3,3,1,3,1,1,1,1,1,1,1,-0.2788207,2.6263375,0.15706548,-0.18831599,-0.7880676,0.048802935
1,2,1,2,1,1,3,1,1,2,1,1,2,1,-0.27962324,2.312693,0.23280305,-0.18831599,-0.28630862,-0.44447115
1,3,1,10,7,1,1,1,1,1,1,1,1,2,1.3246608,-0.3707883,-0.60031027,-0.18831599,-0.8137988,-0.25913695
1,6,1,6,5,1,3,1,1,1,1,1,1,2,0.44346827,-0.3706454,-0.49932683,-0.18831599,-0.22803494,-0.25913695
1,2,1,4,3,1,2,1,1,2,1,1,2,1,-0.27962324,4.012303,0.83870363,-0.18831599,-0.28630862,-0.52288175
1,3,1,5,3,1,2,1,1,2,1,1,2,2,-0.27962324,-0.37107408,-0.47408098,-0.18831599,-0.28630862,-0.25913695
1,2,1,2,2,1,3,1,1,1,1,1,1,1,-0.44655225,-0.1956047,1.2931291,-0.18831599,1.7895961,-0.103028536
1,5,1,4,5,1,1,1,1,1,1,1,1,2,-0.04126789,-0.352927,0.28329477,-0.18831599,-0.25376618,-0.25913695
1,2,1,2,1,1,3,1,1,2,1,1,2,1,-0.27962324,-0.38686347,-2.3422744,-0.18831599,-0.28630862,-0.043151334
1,2,1,3,4,1,3,1,1,1,1,1,1,1,0.6778109,-0.0855791,-2.3675203,-0.18831599,1.588287,1.0987924
1,6,1,5,9,1,3,1,1,1,1,1,1,2,3.721055,-0.40486765,-1.3829318,-0.18831599,-0.9545638,-0.25913695
1,2,1,3,3,1,3,1,1,1,1,1,1,1,-0.3101199,-0.10226155,-0.65080196,-0.18831599,0.26994002,0.3139734
1,2,1,3,3,1,3,1,1,2,1,1,2,1,-0.27962324,0.34705725,0.18231134,-0.18831599,-0.28630862,0.7994064
1,2,1,4,3,1,3,1,1,1,1,1,1,1,0.08794158,-0.3707883,-1.3829318,-0.18831599,1.1856691,-0.6412105
1,5,1,4,1,1,2,1,1,1,1,1,1,2,-0.5356346,-0.34135288,-0.72653955,3.7793171,-0.55800015,-0.25913695
1,2,1,2,1,1,2,1,1,2,2,1,2,1,-0.27962324,-0.2814818,-0.070147246,-0.18831599,-0.28630862,-0.5214561
1,2,1,2,1,1,3,1,1,2,1,1,2,1,-0.27962324,1.1553882,0.15706548,-0.18831599,-0.28630862,-0.10516701
1,2,1,3,1,1,2,1,1,1,2,1,1,1,-0.19856638,-0.2814818,-1.004244,-0.18831599,-0.02067151,0.27476808
1,2,1,4,5,1,3,1,1,1,1,1,1,1,1.4129405,-0.3654299,1.6213253,-0.18831599,2.2406495,0.8521554
1,2,1,2,1,1,2,1,1,1,2,1,1,1,-0.68009233,-0.2814818,-0.044901386,-0.18831599,-0.8137988,-0.5535332
1,3,1,4,3,1,1,1,1,1,1,1,1,2,0.061457653,-0.3886496,0.15706548,-0.18831599,-0.6397346,-0.25913695
1,2,1,1,1,1,3,1,1,1,1,1,1,1,-0.80047387,-0.115871854,0.18231134,-0.18831599,0.5635788,-0.2612754
1,7,1,1,0,1,4,1,1,2,1,2,2,2,-0.27962324,0.7471861,-0.032278456,-0.18831599,-0.28630862,-0.25913695
1,5,1,4,3,1,2,1,1,2,1,1,2,2,-0.27962324,-0.34221023,-0.6760478,-0.18831599,-0.28630862,-0.25913695
1,3,1,8,3,1,2,1,1,2,1,1,2,2,-0.27962324,-0.3484617,-1.1052275,-0.18831599,-0.28630862,-0.25913695
1,2,1,2,1,1,2,1,1,2,2,1,2,1,-0.27962324,-0.2814818,0.0055903303,3.615139,-0.28630862,-0.47654822
1,2,1,3,2,1,3,1,1,1,1,1,1,1,-0.33098602,0.16469342,-1.2314568,-0.18831599,0.5499563,0.23556277
1,2,1,2,1,1,2,1,1,1,1,1,1,1,-0.7964611,-0.04928494,1.495096,-0.18831599,-0.0025082885,-0.84008837
1,2,1,2,1,1,2,1,1,1,2,1,1,1,-0.6399652,-0.2814818,-0.12063896,-0.18831599,-1.0650567,-0.43805572
1,2,1,2,3,1,3,1,1,1,1,1,1,1,-0.55810577,0.3452354,-1.2567025,-0.18831599,-1.2315528,-0.14508514
1,5,1,4,2,1,4,1,1,1,1,1,1,1,-0.32536823,-0.41929957,0.66198266,-0.18831599,-0.82288045,-0.841514
1,3,1,7,9,1,2,1,1,1,1,1,1,2,1.1593369,-0.36571568,-0.47408098,-0.18831599,-0.6336802,-0.25913695
1,2,1,2,3,1,3,1,1,1,1,1,1,1,-0.56372356,1.4920379,1.5960793,-0.18831599,2.6129954,-0.04600263
1,2,1,4,3,1,3,1,1,2,1,1,2,1,-0.27962324,0.4258256,-1.2062109,-0.18831599,-0.28630862,1.2634547
1,2,1,4,4,1,3,1,1,1,1,1,1,1,0.70429486,0.52663475,-1.0799816,-0.18831599,0.9480336,1.3789321
1,2,1,2,1,1,3,1,1,2,1,1,2,1,-0.27962324,-0.35060504,-1.3324401,-0.18831599,-0.28630862,0.60266703
1,2,1,2,1,1,3,1,1,1,1,1,1,1,-0.66083133,-0.08336429,-0.827523,-0.18831599,2.5025024,-0.2847986
1,2,1,3,3,1,3,1,1,1,1,1,1,1,-0.2804258,1.4920379,1.5960793,-0.18831599,3.1306472,0.3260914
1,2,1,3,3,1,3,1,1,1,1,1,1,1,0.27493417,-0.28373232,-0.6760478,1.6723671,-0.060025156,1.4181374
1,3,1,5,3,1,2,1,1,2,1,1,2,2,-0.27962324,-0.40961877,-0.7517854,-0.18831599,-0.28630862,-0.25913695
1,2,1,3,3,1,3,1,1,1,1,1,1,1,-0.2788207,1.9913684,0.0055903303,-0.18831599,-0.9515366,-0.09162335
1,2,1,3,1,1,2,1,1,1,2,1,1,1,-0.31894788,-0.2814818,-0.0953931,-0.18831599,-0.6957379,-0.22207011
1,2,1,2,1,1,3,1,1,1,1,1,1,1,-0.5918126,-0.12073013,1.495096,-0.18831599,-0.090297185,-0.77735984
1,2,1,2,1,1,3,1,1,1,1,1,1,1,-0.6014431,0.5997232,-0.5245727,-0.18831599,0.23209998,-0.53785104
1,6,1,10,12,1,3,1,1,1,1,1,1,2,4.777202,-0.37436056,-0.60031027,-0.18831599,-1.1150056,-0.25913695
1,2,1,2,1,1,3,1,1,2,1,1,2,1,-0.27962324,0.14261685,1.7223086,-0.18831599,-0.28630862,-0.71391857
1,2,1,2,1,1,1,1,1,1,2,1,1,2,-0.599838,-0.2814818,1.4446043,-0.18831599,-0.47323844,-0.25913695
1,2,1,1,1,1,3,1,1,1,1,1,1,1,-0.8975816,0.14261685,1.7223086,-0.18831599,0.5938508,-0.7873394
1,2,1,3,1,1,2,1,1,1,2,1,1,1,-0.73386276,-0.2814818,-0.22162239,-0.18831599,-0.7956356,-0.50220984
1,2,1,3,1,1,3,1,1,1,1,1,1,1,-0.5926151,-0.31720442,-0.60031027,-0.18831599,0.1730695,-0.7331648
1,2,1,3,2,1,3,1,1,1,1,1,1,1,-0.56372356,1.4920379,1.5960793,-0.18831599,2.6129954,-0.09091053
1,2,1,4,8,1,3,1,1,2,1,1,2,1,-0.27962324,-0.15463087,0.23280305,-0.18831599,-0.28630862,3.4375675
1,2,1,3,1,1,2,1,1,2,2,1,2,1,-0.27962324,-0.2814818,0.030836187,-0.18831599,-0.28630862,-0.18357763
1,2,1,1,4,1,3,1,1,1,1,1,1,1,0.36321393,-0.39690152,-2.3675203,-0.18831599,0.70131654,0.42873803
1,2,1,3,1,1,3,1,1,1,1,1,1,1,-0.6271245,0.14543894,0.78821194,-0.18831599,0.99646884,0.74950874
1,2,1,3,3,1,3,1,1,1,1,1,1,1,-0.5452651,-0.37971896,-0.5750644,-0.18831599,0.63925886,-0.4074043
1,2,1,4,4,1,3,1,1,2,1,1,2,1,-0.27962324,-0.38711354,-1.534407,4.3539395,-0.28630862,0.18423946
1,2,1,4,8,1,3,1,1,2,1,1,2,1,-0.27962324,-0.19321127,0.15706548,-0.18831599,-0.28630862,2.1373768
1,3,1,9,5,1,4,1,1,1,1,1,1,2,2.0686185,-0.38418427,1.646571,-0.18831599,-0.87131566,-0.25913695
1,2,1,3,1,1,2,1,1,1,2,1,1,1,-0.4794565,-0.2814818,0.25804892,-0.18831599,-0.7093603,-0.32257828
1,5,1,5,8,1,1,1,1,1,1,1,1,2,1.7435884,-0.3475686,1.2173915,-0.18831599,-0.23711656,-0.25913695
