,Unnamed: 0,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
194,194,MLS Listing,,Condo/Co-op,385 First Ave Unit 10-H,New York,NY,10010,995000,1.0,1.0,Gramercy,748.0,9875.0,2016.0,1,1330.0,995.0,Active,,,https://www.redfin.com/NY/New-York/385-1st-Ave-10010/unit-10H/home/143436090,REBNY,OLRS-00011553781,N,Y,40.7366628,-73.9790106
195,195,MLS Listing,,Condo/Co-op,124 E 79th St Unit 2-B,New York,NY,10075,850000,1.0,1.5,Upper East Side,800.0,6743.0,1986.0,1,1063.0,1759.0,Active,,,https://www.redfin.com/NY/New-York/124-E-79th-St-10075/unit-2B/home/45285439,REBNY,OLRS-2016357,N,Y,40.7750417,-73.9597079
196,196,MLS Listing,,Condo/Co-op,66 Washington Ave Unit 6R,Brooklyn,NY,11205,850000,2.0,1.0,Clinton Hill,809.0,4000.0,1930.0,1,1051.0,370.0,Active,,,https://www.redfin.com/NY/Brooklyn/66-Washington-Ave-11205/unit-6R/home/59293831,REBNY,RPLU-33422212312,N,Y,40.6967171,-73.9678593
197,197,MLS Listing,,Condo/Co-op,251 Pacific St #8,Brooklyn,NY,11201,525000,1.0,1.0,Cobble Hill,,5000.0,1914.0,1,,665.0,Active,,,https://www.redfin.com/NY/Brooklyn/251-Pacific-St-11201/unit-8/home/40666035,REBNY,PRCH-5085652,N,Y,40.6885654,-73.9905096
198,198,MLS Listing,,Condo/Co-op,372 Dekalb Ave Unit 6-K,Brooklyn,NY,11205,1250000,1.0,2.0,Clinton Hill,1100.0,23000.0,1913.0,1,1136.0,1591.0,Active,January-8-2023 12:30 PM,January-8-2023 02:30 PM,https://www.redfin.com/NY/Brooklyn/372-DeKalb-Ave-11205/unit-6K/home/40926235,REBNY,OLRS-244488,N,Y,40.6898733,-73.962846
199,199,MLS Listing,,Condo/Co-op,61 W 62nd St Unit 22/H,New York,NY,10023,699000,1.0,1.0,Lincoln Square,,16535.0,1981.0,1,,2252.0,Active,January-4-2023 11:30 AM,January-4-2023 01:30 PM,https://www.redfin.com/NY/New-York/61-W-62nd-St-10023/unit-22H/home/144129961,REBNY,RPLU-33422218789,N,Y,40.771079,-73.9827734
200,200,MLS Listing,,Townhouse,525 E 3rd St,Brooklyn,NY,11218,1995000,4.0,2.0,Kensington / Ocean Pkwy,1700.0,5000.0,1925.0,1,1174.0,,Active,January-8-2023 02:00 PM,January-8-2023 03:30 PM,https://www.redfin.com/NY/Brooklyn/525-E-3rd-St-11218/home/40794285,REBNY,OLRS-0043004,N,Y,40.6392786,-73.9763225
201,201,MLS Listing,,Condo/Co-op,117 E 57th St Unit 41F,New York,NY,10022,752400,0.0,1.0,Midtown Central,513.0,17272.0,1976.0,1,1467.0,909.0,Active,January-8-2023 12:00 PM,January-8-2023 01:00 PM,https://www.redfin.com/NY/New-York/117-E-57th-St-10022/unit-41F/home/45278158,REBNY,RLMX-86080,N,Y,40.7615277,-73.9698343
202,202,MLS Listing,,Condo/Co-op,37-26 32nd St Unit 6-L,Queens,NY,11101,570000,0.0,1.0,Long Island City,429.0,16872.0,2022.0,1,1329.0,294.0,Active,,,https://www.redfin.com/NY/Queens/37-26-32nd-St-11101/unit-6-L/home/183633294,REBNY,OLRS-2016126,N,Y,40.753836,-73.9310503
203,203,MLS Listing,,Condo/Co-op,41-05 29 St Unit 16-C,Queens,NY,11101,1310000,2.0,2.0,Long Island City,,2250.0,1931.0,1,,905.0,Active,,,https://www.redfin.com/NY/Long-Island-City/41-05-29th-St-11101/unit-16-C/home/183633293,REBNY,OLRS-2016317,N,Y,40.7507843,-73.9367858
204,204,MLS Listing,,Condo/Co-op,580 Carroll St Unit 4C,Brooklyn,NY,11215,1600000,2.0,2.0,Park Slope,1275.0,10174.0,2009.0,1,1255.0,839.0,Active,January-8-2023 12:00 PM,January-8-2023 01:30 PM,https://www.redfin.com/NY/Brooklyn/580-Carroll-St-11215/unit-4C/home/40922072,REBNY,RPLU-33422192233,N,Y,40.675727,-73.9830132
205,205,MLS Listing,,Condo/Co-op,16 W 16th St Unit 10LN,New York,NY,10011,965000,1.0,1.0,Flatiron,,45223.0,1960.0,1,,1251.0,Active,January-8-2023 01:30 PM,January-8-2023 03:00 PM,https://www.redfin.com/NY/New-York/16-W-16th-St-10011/unit-10LN/home/45174837,REBNY,PRCH-4280952,N,Y,40.7375086,-73.9937004
206,206,MLS Listing,,Condo/Co-op,37-26 32nd St Unit 3-G,Queens,NY,11101,730000,1.0,1.0,Long Island City,,16872.0,2022.0,1,,397.0,Active,,,https://www.redfin.com/NY/Queens/37-26-32nd-St-11101/unit-3-G/home/183633291,REBNY,OLRS-2016145,N,Y,40.753836,-73.9310503
207,207,MLS Listing,,Condo/Co-op,420 Riverside Dr Unit 9-D,New York,NY,10025,1475000,2.0,1.5,Morningside Heights,1135.0,17490.0,1905.0,1,1300.0,1729.0,Active,,,https://www.redfin.com/NY/New-York/420-Riverside-Dr-10025/unit-9D/home/45164285,REBNY,OLRS-99153,N,Y,40.8075829,-73.9663347
208,208,MLS Listing,,Condo/Co-op,41-05 29 St Unit 15-D,Queens,NY,11101,1180000,2.0,2.0,Long Island City,868.0,2250.0,1931.0,1,1359.0,827.0,Active,,,https://www.redfin.com/NY/Long-Island-City/41-05-29th-St-11101/unit-15-D/home/183633290,REBNY,OLRS-2016326,N,Y,40.7507843,-73.9367858
209,209,MLS Listing,,Condo/Co-op,37-26 32nd St Unit 5-K,Queens,NY,11101,620000,0.0,1.0,Long Island City,441.0,16872.0,2022.0,1,1406.0,302.0,Active,,,https://www.redfin.com/NY/Queens/37-26-32nd-St-11101/unit-5-K/home/183633289,REBNY,OLRS-2016130,N,Y,40.753836,-73.9310503
210,210,MLS Listing,,Condo/Co-op,309 E 87th St Unit 5-M,New York,NY,10128,585000,1.0,1.0,Yorkville,,23463.0,1952.0,1,,1525.0,Active,,,https://www.redfin.com/NY/New-York/309-E-87th-St-10128/unit-5-M/home/179468447,REBNY,OLRS-2016373,N,Y,40.7783276,-73.9501722
211,211,MLS Listing,,Condo/Co-op,70 Park Ter E Unit 4-A,New York,NY,10034,248800,0.0,1.0,Inwood,550.0,21750.0,1950.0,1,452.0,511.0,Active,,,https://www.redfin.com/NY/New-York/70-Park-Ter-E-10034/unit-4A/home/45186979,REBNY,OLRS-2015847,N,Y,40.8706218,-73.9161026
212,212,MLS Listing,,Multi-Family (2-4 Unit),1306 Dean St,Brooklyn,NY,11216,2100000,,,Crown Heights,,2288.0,1893.0,1,,,Active,,,https://www.redfin.com/NY/Brooklyn/1306-Dean-St-11216/home/40707984,REBNY,RPLU-33422130017,N,Y,40.6764862,-73.9457387
213,213,MLS Listing,,Condo/Co-op,3135 Johnson Ave Unit 9B,Bronx,NY,10463,499000,2.0,2.0,Spuyten Duyvil,1200.0,86400.0,1960.0,1,416.0,1467.0,Active,January-8-2023 12:00 PM,January-8-2023 02:00 PM,https://www.redfin.com/NY/The-Bronx/3135-Johnson-Ave-10463/unit-9B/home/183633286,REBNY,RPLU-33422217595,N,Y,40.8828679,-73.9112962
214,214,MLS Listing,,Condo/Co-op,124 E 79th St Unit 2-A,New York,NY,10075,649000,0.0,1.0,Upper East Side,348.0,6743.0,1986.0,1,1865.0,1119.0,Active,,,https://www.redfin.com/NY/New-York/124-E-79th-St-10075/unit-2A/home/45285341,REBNY,OLRS-2016358,N,Y,40.7750417,-73.9597079
215,215,MLS Listing,,Condo/Co-op,27 E 65th St Unit 7C,New York,NY,10065,499000,1.0,1.0,Lenox Hill,,10845.0,1959.0,1,,1708.0,Active,,,https://www.redfin.com/NY/New-York/27-E-65th-St-10065/unit-7C/home/53324731,REBNY,RPLU-33422217503,N,Y,40.7673406,-73.9683647
216,216,MLS Listing,,Condo/Co-op,627 Wilson Ave #2,Brooklyn,NY,11207,750000,2.0,1.5,Bushwick,,2600.0,1907.0,1,,407.0,Active,,,https://www.redfin.com/NY/Brooklyn/627-Wilson-Ave-11207/unit-2/home/177026666,REBNY,RPLU-33422199765,N,Y,40.6898524,-73.9061894
217,217,MLS Listing,,Condo/Co-op,205 W End Ave Unit 6-V,New York,NY,10023,829000,1.0,1.0,Lincoln Square,,90575.0,1959.0,1,,1746.0,Active,January-8-2023 11:00 AM,January-8-2023 12:00 PM,https://www.redfin.com/NY/New-York/205-W-End-Ave-10023/unit-6V/home/173152682,REBNY,OLRS-2016341,N,Y,40.778545,-73.9864464
